주,네트워크,파트너,광고 비용,설치 수,page_view_regist_intro
2022-08-22 - 2022-08-28,Google Ads (Ad Spend),adwords,3762268.7739,0,0
2022-08-29 - 2022-09-04,Google Ads (Ad Spend),adwords,1749121.1398,0,0
2022-08-01 - 2022-08-07,Google Ads (Ad Spend),adwords,1736674.6968,0,0
2022-08-08 - 2022-08-14,Google Ads (Ad Spend),adwords,1633879.8097,0,0
2022-08-01 - 2022-08-07,Apple Search Ads,apple,1577512.8316,89,65
2022-07-18 - 2022-07-24,Google Ads (Ad Spend),adwords,1315564.3529,0,0
2022-08-15 - 2022-08-21,Google Ads (Ad Spend),adwords,1276732.6057,0,0
2022-08-08 - 2022-08-14,Apple Search Ads,apple,1036923.0892,128,110
2022-08-15 - 2022-08-21,Apple Search Ads,apple,1034932.9125,184,162
2022-07-25 - 2022-07-31,Google Ads (Ad Spend),adwords,988474.0817,0,0
2022-06-06 - 2022-06-12,Google Ads (Ad Spend),adwords,968590.1297,0,0
2022-08-22 - 2022-08-28,Apple Search Ads,apple,790514.8923,122,113
2022-06-13 - 2022-06-19,Apple Search Ads,apple,671419.0139,68,52
2022-08-29 - 2022-09-04,Apple Search Ads,apple,591457.5781,118,111
2022-06-20 - 2022-06-26,Google Ads (Ad Spend),adwords,495293.378,0,0
2022-06-20 - 2022-06-26,Apple Search Ads,apple,469269.5781,58,40
2022-06-27 - 2022-07-03,Google Ads (Ad Spend),adwords,447786.1031,0,0
2022-05-30 - 2022-06-05,Google Ads (Ad Spend),adwords,441909.8292,0,0
2022-06-13 - 2022-06-19,Google Ads (Ad Spend),adwords,429512.5197,0,0
2022-07-11 - 2022-07-17,Google Ads (Ad Spend),adwords,387348.0161,0,0
2022-05-30 - 2022-06-05,Apple Search Ads,apple,75753.4055,41,37
2022-05-23 - 2022-05-29,Google Ads (Ad Spend),adwords,2314.6349,0,0
2022-06-06 - 2022-06-12,Apple Search Ads,apple,2138.2914,3,3
2022-06-27 - 2022-07-03,Apple Search Ads,apple,0.0,5,3
2022-07-11 - 2022-07-17,Apple Search Ads,apple,0.0,1,1
2022-07-25 - 2022-07-31,Apple Search Ads,apple,0.0,1,0
2022-06-06 - 2022-06-12,CONTENTS,unknown,0.0,145,140
2022-06-06 - 2022-06-12,Contents,unknown,0.0,2,2
2022-06-06 - 2022-06-12,LMS,unknown,0.0,7,7
2022-06-06 - 2022-06-12,Min Promotion,unknown,0.0,381,370
2022-06-06 - 2022-06-12,cooperate,unknown,0.0,78,74
2022-06-06 - 2022-06-12,in_homepage,unknown,0.0,45,42
2022-06-13 - 2022-06-19,CONTENTS,unknown,0.0,47,48
2022-06-13 - 2022-06-19,Contents,unknown,0.0,1,1
2022-06-13 - 2022-06-19,Min Promotion,unknown,0.0,490,471
2022-06-13 - 2022-06-19,cooperate,unknown,0.0,214,207
2022-06-13 - 2022-06-19,in_app_share,unknown,0.0,3,3
2022-06-13 - 2022-06-19,in_homepage,unknown,0.0,46,46
2022-06-20 - 2022-06-26,CONTENTS,unknown,0.0,41,40
2022-06-20 - 2022-06-26,Contents,unknown,0.0,1,0
2022-06-20 - 2022-06-26,Min Promotion,unknown,0.0,104,97
2022-06-20 - 2022-06-26,cooperate,unknown,0.0,711,659
